Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0,
2023/08/24 11:41:02.000,,,-32.216796875,
2023/08/24 11:41:04.000,,,-32.2265625,
2023/08/24 11:41:06.000,,,-32.220703125,
2023/08/24 11:41:08.000,,,-32.2138671875,
2023/08/24 11:41:17.000,,,-32.251953125,
2023/08/24 11:46:06.000,,,-32.3408203125,
2023/08/24 11:46:14.000,,,-32.326171875,
2023/08/24 11:46:16.000,,,-32.3544921875,
2023/08/24 11:46:18.000,,,-32.3564453125,
2023/08/24 11:51:38.000,,,-33.5458984375,
2023/08/24 11:51:48.000,,,-33.5869140625,
2023/08/24 11:51:52.000,,,-33.552734375,
2023/08/24 11:54:48.000,,,-32.9453125,
2023/08/24 11:54:52.000,,,-32.9326171875,
2023/08/24 11:54:54.000,,,-32.943359375,
2023/08/24 11:54:56.000,,,-32.951171875,
2023/08/24 11:58:14.000,,,-32.953125,
2023/08/24 11:58:16.000,,,-32.982421875,
2023/08/24 11:58:24.000,,,-32.9619140625,
2023/08/24 11:58:28.000,,,-32.9501953125,
2023/08/24 12:03:20.000,,,-32.9775390625,
2023/08/24 12:03:25.000,,,-32.9482421875,
2023/08/24 12:08:54.000,,,-33.513671875,
2023/08/24 11:36:22.000,,,-32.52734375,
2023/08/24 11:36:24.000,,,-32.513671875,
2023/08/24 11:36:26.000,,,-32.498046875,
2023/08/24 11:36:28.000,,,-32.4775390625,
2023/08/24 11:41:18.000,,,-32.265625,
2023/08/24 11:41:22.000,,,-32.2763671875,
2023/08/24 11:41:32.000,,,-32.3701171875,
2023/08/24 11:46:21.000,,,-32.400390625,
2023/08/24 11:46:24.000,,,-32.4296875,
2023/08/24 11:46:26.000,,,-32.4443359375,
2023/08/24 11:46:28.000,,,-32.453125,
2023/08/24 11:46:34.000,,,-32.5068359375,
2023/08/24 11:46:36.000,,,-32.5234375,
2023/08/24 11:51:54.000,,,-33.5673828125,
2023/08/24 11:51:56.000,,,-33.572265625,
2023/08/24 11:51:58.000,,,-33.5498046875,
2023/08/24 11:52:08.000,,,-33.544921875,
2023/08/24 11:52:12.000,,,-33.5322265625,
2023/08/24 11:55:12.000,,,-33.0341796875,
2023/08/24 11:55:17.000,,,-33.064453125,
2023/08/24 11:58:30.000,,,-32.9462890625,
2023/08/24 12:03:30.000,,,-32.908203125,
2023/08/24 12:03:44.000,,,-32.912109375,
2023/08/24 12:03:46.000,,,-32.9189453125,
2023/08/24 12:09:00.000,,,-33.529296875,
2023/08/24 12:09:06.000,,,-33.505859375,
2023/08/24 12:09:08.000,,,-33.482421875,
2023/08/24 11:36:37.000,,,-32.3779296875,
2023/08/24 11:36:38.000,,,-32.3466796875,
2023/08/24 11:36:42.000,,,-32.3076171875,
2023/08/24 11:36:52.000,,,-32.2265625,
2023/08/24 11:41:42.000,,,-32.458984375,
2023/08/24 11:41:52.000,,,-32.546875,
2023/08/24 11:46:44.000,,,-32.5361328125,
2023/08/24 11:46:48.000,,,-32.57421875,
2023/08/24 11:46:52.000,,,-32.5966796875,
2023/08/24 11:52:14.000,,,-33.529296875,
2023/08/24 11:55:30.000,,,-33.1435546875,
2023/08/24 11:55:42.000,,,-33.1181640625,
2023/08/24 11:58:50.000,,,-32.7978515625,
2023/08/24 12:03:58.000,,,-32.9794921875,
2023/08/24 12:04:00.000,,,-33.0087890625,
2023/08/24 12:04:04.000,,,-33.0283203125,
2023/08/24 12:09:16.000,,,-33.390625,
2023/08/24 12:09:28.000,,,-33.21484375,
2023/08/24 11:37:02.000,,,-32.193359375,
2023/08/24 11:37:12.000,,,-32.234375,
2023/08/24 11:42:02.000,,,-32.5654296875,
2023/08/24 11:42:16.000,,,-32.5498046875,
2023/08/24 11:46:54.000,,,-32.595703125,
2023/08/24 11:46:56.000,,,-32.591796875,
2023/08/24 11:47:12.000,,,-32.4677734375,
2023/08/24 11:55:47.000,,,-33.0625,
2023/08/24 11:59:08.000,,,-32.861328125,
2023/08/24 11:59:10.000,,,-32.8671875,
2023/08/24 11:59:14.000,,,-32.9091796875,
2023/08/24 11:59:16.000,,,-32.9140625,
2023/08/24 11:59:18.000,,,-32.9326171875,
2023/08/24 12:04:14.000,,,-33.169921875,
2023/08/24 12:09:30.000,,,-33.18359375,
2023/08/24 12:09:39.000,,,-33.2177734375,
2023/08/24 12:09:40.000,,,-33.2275390625,
2023/08/24 12:09:43.000,,,-33.251953125,
2023/08/24 12:09:46.000,,,-33.2578125,
2023/08/24 12:09:48.000,,,-33.2802734375,
2023/08/24 11:37:22.000,,,-32.2998046875,
2023/08/24 11:37:32.000,,,-32.375,
2023/08/24 11:42:18.000,,,-32.5458984375,
2023/08/24 11:42:22.000,,,-32.533203125,
2023/08/24 11:42:32.000,,,-32.52734375,
2023/08/24 11:47:26.000,,,-32.3486328125,
